,Mar 2008,Mar 2009,Mar 2010,Mar 2011,Dec 2011,Mar 2013,Mar 2014,Mar 2015
Sales +,230,441,272,195,15,47,20,9
Expenses +,153,312,232,426,243,189,-8,12
Operating Profit,77,129,39,-231,-228,-142,28,-3
OPM %,34%,29%,14%,-119%,"-1,504%",-302%,137%,-33%
Other Income +,6,4,5,2,14,76,-70,0
Interest,8,30,25,35,6,0,0,0
Depreciation,18,34,26,33,111,22,86,33
Profit before tax,57,69,-7,-297,-331,-89,-128,-35
Tax %,36%,35%,37%,1%,0%,0%,0%,0%
Net Profit,36,45,-5,-293,-330,-89,-128,-35
EPS in Rs,,1.56,-0.16,-10.09,-11.38,-3.07,-4.42,-1.22
