,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,"43,347","46,601","44,891","46,804","46,032","38,793","44,210","57,496","66,973","61,664","69,114","103,477","106,281"
Expenses +,"35,649","40,432","39,982","42,646","41,217","41,628","44,094","52,788","57,167","51,400","56,337","82,114","95,505"
Operating Profit,"7,697","6,169","4,910","4,157","4,815","-2,834",115,"4,708","9,807","10,264","12,776","21,363","10,776"
OPM %,18%,13%,11%,9%,10%,-7%,0%,8%,15%,17%,18%,21%,10%
Other Income +,"1,862","1,884",923,"2,071",892,425,378,654,283,280,"1,349",902,"1,320"
Interest,572,"1,085",846,"1,047","1,555","2,300","2,528","2,823","3,155","3,487","2,817","1,698","1,636"
Depreciation,"1,603","1,686","1,527","1,836","1,907","2,404","2,682","3,066","3,385","3,756","4,103","4,275","4,571"
Profit before tax,"7,384","5,282","3,460","3,346","2,245","-7,114","-4,716",-527,"3,549","3,302","7,206","16,292","5,889"
Tax %,32%,32%,33%,21%,14%,41%,42%,47%,34%,36%,42%,25%,
Net Profit,"5,014","3,594","2,329","2,652","1,939","-4,176","-2,756",-281,"2,349","2,121","4,148","12,243","4,483"
EPS in Rs,,8.70,5.64,6.42,4.93,-10.11,-6.67,-0.68,5.69,5.13,10.04,29.64,10.85
