,Jun 2007,Jun 2008,Mar 2009,Mar 2010,Sep 2011,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018
Sales +,61,60,46,47,431,419,307,147,55,87,17
Expenses +,55,51,38,39,358,354,272,293,78,99,35
Operating Profit,6,9,9,8,73,65,35,-146,-23,-12,-19
OPM %,10%,15%,19%,18%,17%,15%,11%,-99%,-43%,-14%,-114%
Other Income +,0,0,1,0,6,1,6,1,3,0,1
Interest,4,6,4,6,107,87,70,78,62,6,8
Depreciation,2,3,3,5,40,38,25,27,27,11,10
Profit before tax,1,0,2,-2,-68,-59,-54,-251,-110,-29,-36
Tax %,-63%,-189%,52%,17%,32%,34%,24%,-19%,2%,7%,10%
Net Profit,1,1,1,-2,-46,-39,-41,-298,-107,-26,-32
EPS in Rs,0.21,0.31,0.23,-0.40,-10.99,-9.27,-9.76,-71.08,-25.59,-6.31,-7.72
