,Mar 2011,Jun 2012,Jun 2013,Jun 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,"2,008","2,738","1,869","2,111","1,587",855,259,281,377,407,712,991,"1,045"
Expenses +,"1,920","2,710","1,826","2,105","1,833",864,288,276,362,401,700,976,"1,045"
Operating Profit,89,28,43,6,-246,-9,-29,5,14,6,12,15,1
OPM %,4%,1%,2%,0%,-16%,-1%,-11%,2%,4%,1%,2%,2%,0%
Other Income +,90,23,14,12,-25,-19,21,-23,18,-35,24,20,22
Interest,3,2,2,3,3,1,0,2,3,4,2,1,1
Depreciation,33,41,36,38,24,28,20,17,18,21,23,20,24
Profit before tax,142,7,19,-23,-298,-57,-28,-37,12,-54,12,13,-3
Tax %,21%,148%,75%,-18%,-3%,-17%,-36%,-22%,24%,-4%,53%,50%,
Net Profit,112,-4,5,-28,-306,-67,-38,-45,9,-56,6,7,-8
EPS in Rs,4.37,-0.41,0.23,-1.24,-13.49,-3.01,-1.57,-1.57,0.27,-2.16,0.50,0.23,-0.37
