,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,"1,900","2,359","2,813","3,282","3,144","2,867","3,156","3,258","3,746","4,619","5,395","5,797","5,906"
Expenses +,"1,478","1,894","2,248","2,539","2,604","2,573","2,705","2,803","3,051","3,715","3,843","4,472","4,862"
Operating Profit,422,465,565,743,541,294,451,455,695,904,"1,552","1,325","1,044"
OPM %,22%,20%,20%,23%,17%,10%,14%,14%,19%,20%,29%,23%,18%
Other Income +,7,11,13,21,32,21,11,41,56,65,59,54,85
Interest,32,44,36,30,32,35,27,28,22,20,12,11,21
Depreciation,56,67,87,103,180,163,173,178,182,210,209,232,245
Profit before tax,341,364,454,631,361,117,262,291,546,739,"1,389","1,136",863
Tax %,23%,24%,29%,24%,28%,18%,26%,18%,19%,18%,17%,20%,
Net Profit,263,277,324,479,254,93,195,239,442,604,"1,141",890,621
EPS in Rs,10.45,11.01,12.82,18.96,10.07,3.69,7.71,9.49,17.60,23.99,44.94,34.85,24.18
