,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,660,778,856,"1,060","1,038","1,133","1,876","2,747"
Expenses +,514,633,697,827,803,935,"1,513","2,040"
Operating Profit,146,145,158,234,235,198,363,707
OPM %,22%,19%,19%,22%,23%,17%,19%,26%
Other Income +,8,4,16,20,20,17,33,57
Interest,7,4,3,2,5,6,5,5
Depreciation,30,24,20,17,35,47,40,43
Profit before tax,117,121,151,234,216,162,352,716
Tax %,35%,36%,37%,40%,24%,26%,26%,
Net Profit,76,78,95,136,165,120,260,536
EPS in Rs,157.74,161.22,31.09,44.43,53.74,39.24,84.67,174.90
