,Mar 2009,Mar 2010,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,TTM
Sales +,384,437,419,452,483,494,365,327,331
Expenses +,354,426,401,411,474,447,319,284,282
Operating Profit,30,11,18,41,9,47,46,43,49
OPM %,8%,3%,4%,9%,2%,9%,13%,13%,15%
Other Income +,1,0,1,-0,5,62,2,9,3
Interest,17,18,17,23,22,16,7,6,4
Depreciation,11,13,13,14,16,15,12,9,6
Profit before tax,3,-20,-11,4,-24,78,30,36,42
Tax %,49%,0%,11%,-56%,-2%,15%,34%,37%,
Net Profit,2,-20,-10,6,-24,66,20,23,29
EPS in Rs,0.58,-7.14,-3.61,2.04,-8.60,23.71,6.99,8.18,10.49
