,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,574,650,805,"1,040","1,029",921,936,"1,184","1,313","1,352","1,295","1,911","2,079"
Expenses +,500,599,683,905,894,770,790,"1,010","1,116","1,148","1,092","1,519","1,669"
Operating Profit,74,51,121,135,135,151,146,175,198,204,203,392,410
OPM %,13%,8%,15%,13%,13%,16%,16%,15%,15%,15%,16%,21%,20%
Other Income +,19,20,23,27,15,32,41,47,37,45,68,52,41
Interest,9,11,8,5,9,10,19,23,32,37,29,21,22
Depreciation,36,33,30,27,32,26,24,29,38,52,68,63,63
Profit before tax,48,27,107,130,109,147,144,170,164,159,175,360,366
Tax %,31%,44%,31%,31%,31%,32%,30%,29%,27%,21%,23%,24%,
Net Profit,33,15,74,90,75,100,101,120,119,126,134,274,278
EPS in Rs,9.93,4.84,23.55,28.43,23.85,38.17,39.14,48.84,47.73,50.18,53.19,109.31,109.28
