,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Share Capital +,6,6,6,6,6,6,6,6,6,6,6,6,6
Reserves,106,139,165,195,221,274,356,461,568,652,888,"1,243","1,438"
Borrowings +,165,216,209,262,256,173,105,152,227,260,127,101,111
Other Liabilities +,88,105,139,158,139,152,168,229,244,195,289,524,500
Total Liabilities,365,466,519,620,623,605,635,848,"1,046","1,113","1,310","1,875","2,056"
Fixed Assets +,160,196,234,325,341,341,325,316,320,573,543,681,784
CWIP,12,25,63,8,3,16,25,123,269,46,173,141,35
Investments,8,8,20,20,0,0,0,0,0,48,0,0,25
Other Assets +,186,237,202,267,278,248,284,409,457,446,594,"1,053","1,211"
Total Assets,365,466,519,620,623,605,635,848,"1,046","1,113","1,310","1,875","2,056"
