,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,30,44,24,94,73,90,306,429,405,268,143,155,120
Expenses +,27,39,26,56,46,62,204,307,303,248,127,122,101
Operating Profit,3,5,-2,38,27,28,102,123,102,19,16,33,19
OPM %,10%,12%,-8%,40%,37%,31%,33%,29%,25%,7%,11%,21%,16%
Other Income +,1,2,0,-0,-0,1,2,2,5,4,23,5,6
Interest,0,1,0,1,1,1,4,6,3,3,2,1,1
Depreciation,16,11,8,9,11,12,24,34,32,28,27,20,13
Profit before tax,-13,-5,-10,28,15,16,76,85,72,-8,9,18,11
Tax %,14%,-7%,-8%,7%,4%,26%,33%,36%,37%,-14%,29%,31%,
Net Profit,-11,-5,-11,26,14,12,51,54,45,-9,6,12,7
EPS in Rs,-21.83,-9.87,-19.87,46.98,25.72,20.64,82.58,85.61,71.35,-13.78,10.13,19.15,11.71
