,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,"2,263","2,846","3,227","3,732","4,170","4,223","4,552","5,166","6,062","6,366","6,818","8,762","10,169"
Expenses +,"2,013","2,543","2,856","3,300","3,659","3,578","3,833","4,359","5,127","5,313","5,635","7,431","8,662"
Operating Profit,250,303,371,431,511,645,719,807,935,"1,053","1,182","1,331","1,507"
OPM %,11%,11%,12%,12%,12%,15%,16%,16%,15%,17%,17%,15%,15%
Other Income +,30,31,31,36,36,40,108,46,60,69,51,68,72
Interest,24,32,38,47,50,27,16,25,47,47,44,51,69
Depreciation,40,47,57,71,92,99,108,124,182,191,211,227,241
Profit before tax,216,254,308,350,404,559,703,705,765,883,979,"1,122","1,269"
Tax %,31%,29%,29%,29%,34%,34%,33%,35%,35%,26%,26%,26%,
Net Profit,150,180,218,249,265,371,474,461,494,656,720,833,946
EPS in Rs,1.55,1.86,2.25,2.57,2.73,3.82,4.88,4.75,5.09,6.77,7.41,8.57,9.74
