,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,258,111,110,60,65,45,36,40,45,46,3,4,8
Expenses +,184,106,102,77,53,38,33,40,41,39,10,7,12
Operating Profit,74,5,8,-17,12,7,3,-0,4,7,-7,-3,-4
OPM %,29%,4%,8%,-29%,19%,15%,9%,-0%,9%,16%,-241%,-62%,-47%
Other Income +,3,-5,1,5,-2,1,4,-430,-40,1,1,-31,-31
Interest,2,2,0,-4,0,0,1,1,2,2,1,3,3
Depreciation,2,4,7,7,7,8,9,6,7,7,6,4,3
Profit before tax,72,-6,2,-16,4,-1,-2,-437,-44,-1,-13,-40,-41
Tax %,2%,-44%,-156%,4%,-46%,79%,-32%,-0%,-1%,-20%,-2%,0%,
Net Profit,71,-9,6,-15,5,-0,-3,-437,-45,-1,-14,-40,-41
EPS in Rs,0.34,-0.04,0.03,-0.07,0.02,-0.00,-0.01,-2.05,-0.21,-0.01,-0.06,-0.19,-0.19
