,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,"1,317","1,864","2,145","2,532","3,115","3,776","4,064","3,891","4,946","5,394","6,969","8,960","9,121"
Expenses +,816,"1,173","1,329","1,514","1,942","2,354","2,615","2,622","3,072","3,568","4,102","5,075","5,451"
Operating Profit,501,691,816,"1,018","1,173","1,423","1,450","1,269","1,874","1,826","2,867","3,885","3,669"
OPM %,38%,37%,38%,40%,38%,38%,36%,33%,38%,34%,41%,43%,40%
Other Income +,27,56,45,68,38,93,72,107,154,186,57,112,237
Interest,2,5,3,3,3,5,3,2,5,7,2,2,1
Depreciation,53,62,77,92,136,118,123,142,169,186,256,312,330
Profit before tax,472,681,781,991,"1,072","1,393","1,395","1,231","1,855","1,819","2,666","3,684","3,576"
Tax %,9%,22%,23%,22%,21%,19%,24%,29%,27%,24%,26%,20%,
Net Profit,429,533,602,773,852,"1,126","1,060",877,"1,353","1,377","1,984","2,960","2,992"
EPS in Rs,16.19,20.09,22.67,29.13,32.07,42.41,39.95,33.04,50.96,51.85,74.75,111.52,112.72
