,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,"2,384","2,669","3,013","3,120","3,254","1,591","1,702","1,720","1,772","1,532","1,526","2,051","2,280"
Expenses +,"2,185","2,456","2,779","2,908","3,031","1,386","1,492","1,502","1,539","1,342","1,385","1,882","2,080"
Operating Profit,199,213,234,212,223,205,211,219,233,189,141,169,200
OPM %,8%,8%,8%,7%,7%,13%,12%,13%,13%,12%,9%,8%,9%
Other Income +,44,47,55,70,64,63,56,51,51,51,49,37,36
Interest,24,23,23,24,23,5,5,4,7,15,12,14,15
Depreciation,31,35,38,35,46,24,26,27,30,52,55,56,56
Profit before tax,188,202,229,222,218,240,236,238,247,173,123,137,165
Tax %,32%,27%,27%,30%,30%,32%,34%,31%,35%,32%,33%,35%,
Net Profit,128,148,167,156,152,164,155,165,197,155,115,135,162
EPS in Rs,7.51,8.67,9.79,9.09,8.89,9.58,9.05,9.66,11.65,9.43,7.04,8.07,9.68
