,Mar 2009,Mar 2010,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,TTM
Sales +,196,308,458,566,527,512,579,637,711,863,975,744,597
Expenses +,195,297,438,521,486,475,542,586,646,782,897,691,554
Operating Profit,1,12,19,45,42,37,36,51,64,82,78,52,43
OPM %,1%,4%,4%,8%,8%,7%,6%,8%,9%,9%,8%,7%,7%
Other Income +,2,2,2,2,1,1,4,7,4,9,10,6,6
Interest,4,13,9,9,8,7,6,2,1,2,4,5,2
Depreciation,7,16,15,14,13,14,13,14,15,18,23,27,25
Profit before tax,-8,-15,-3,24,22,18,22,43,52,70,60,27,22
Tax %,-13%,21%,14%,12%,42%,33%,33%,25%,30%,30%,33%,7%,
Net Profit,-9,-12,-3,21,12,12,15,32,37,49,40,25,16
EPS in Rs,-11.44,-12.65,-4.83,20.29,14.87,10.00,11.38,33.24,36.22,48.26,36.91,17.69,9.28
