,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,TTM
Sales +,171.19,168.69,175.56,176.21,180.15,164.92,132.21,56.71,18.72,9.53,11.37
Expenses +,153.71,158.25,157.46,157.96,156.70,144.42,132.56,83.95,24.13,17.62,19.57
Operating Profit,17.48,10.44,18.10,18.25,23.45,20.50,-0.35,-27.24,-5.41,-8.09,-8.20
OPM %,10.21%,6.19%,10.31%,10.36%,13.02%,12.43%,-0.26%,-48.03%,-28.90%,-84.89%,-72.12%
Other Income +,-11.87,21.77,2.06,0.39,-0.06,0.08,-20.00,-8.19,1.76,0.07,0.12
Interest,1.36,6.85,9.31,9.13,10.88,11.34,11.82,7.49,8.76,0.02,-4.77
Depreciation,5.94,4.36,4.35,4.46,3.13,2.22,2.22,2.19,1.92,1.88,1.81
Profit before tax,-1.69,21.00,6.50,5.05,9.38,7.02,-34.39,-45.11,-14.33,-9.92,-5.12
Tax %,0.00%,0.00%,-34.92%,-8.51%,7.46%,0.43%,4.91%,-0.82%,0.00%,-2.82%,
Net Profit,-1.69,21.00,8.77,5.48,8.68,6.99,-32.71,-45.48,-14.33,-10.20,-5.38
EPS in Rs,-0.93,11.55,4.52,2.82,4.47,3.39,-15.11,-21.01,-6.62,-4.71,-2.49
