,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,481,613,823,947,"1,311","2,038","2,024","1,897","2,973","2,632","1,950","2,999","3,645"
Expenses +,329,470,614,648,928,"1,548","1,444","1,341","2,174","1,965","1,474","2,229","2,733"
Operating Profit,152,143,209,298,383,490,580,557,799,667,476,770,912
OPM %,32%,23%,25%,32%,29%,24%,29%,29%,27%,25%,24%,26%,25%
Other Income +,130,38,12,20,20,34,29,36,47,27,-17,9,98
Interest,99,60,90,113,131,199,246,259,278,340,347,444,433
Depreciation,20,53,77,82,99,106,123,138,140,192,237,351,331
Profit before tax,163,67,54,124,172,219,240,196,427,161,-125,-15,246
Tax %,26%,15%,-12%,28%,33%,37%,31%,32%,34%,29%,23%,-331%,
Net Profit,121,57,61,90,116,139,167,133,282,114,-96,-65,151
EPS in Rs,7.16,3.38,3.64,5.46,5.63,7.30,8.98,6.82,11.74,6.39,-2.20,3.59,11.99
