,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Share Capital +,15,15,15,15,15,15,15,15,15,15,15,15,15
Reserves,345,399,430,472,510,613,727,834,926,"1,017","1,124","1,187","1,216"
Borrowings +,305,369,408,324,209,105,83,93,59,66,230,354,372
Other Liabilities +,160,200,220,230,235,265,268,306,294,452,354,397,444
Total Liabilities,825,983,"1,073","1,041",969,998,"1,093","1,248","1,294","1,551","1,724","1,953","2,046"
Fixed Assets +,278,349,365,357,306,273,271,344,399,592,634,695,750
CWIP,38,9,4,2,1,5,32,9,14,27,18,26,22
Investments,2,0,0,2,5,44,42,47,51,34,35,35,35
Other Assets +,506,625,703,680,657,677,749,849,830,898,"1,036","1,197","1,239"
Total Assets,825,983,"1,073","1,041",969,998,"1,093","1,248","1,294","1,551","1,724","1,953","2,046"
