,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,78,58,47,30,52,89,135,162,222,388,551,"1,661",745
Expenses +,33,29,32,35,62,116,155,175,255,440,561,684,842
Operating Profit,46,29,15,-4,-10,-28,-20,-13,-33,-52,-10,977,-96
OPM %,58%,50%,33%,-15%,-19%,-31%,-15%,-8%,-15%,-13%,-2%,59%,-13%
Other Income +,-0,0,0,0,2,-0,2,7,0,1,1,140,"1,167"
Interest,1,1,1,1,1,2,3,1,3,1,3,3,1
Depreciation,2,6,2,2,6,7,7,6,6,5,4,4,5
Profit before tax,43,22,13,-7,-15,-37,-28,-12,-42,-58,-16,"1,109","1,065"
Tax %,24%,32%,31%,5%,0%,1%,-2%,-19%,-3%,9%,-4%,12%,
Net Profit,33,14,8,-6,-15,-37,-29,-15,-43,-52,-17,978,960
EPS in Rs,10.30,4.41,2.58,-2.03,-4.68,-11.51,-9.00,-3.73,-11.81,-12.19,-3.27,222.73,217.51
