,Mar 2008,Mar 2009,Mar 2010,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019
Sales +,287,259,232,417,185,90,84,51,25,11,19,22
Expenses +,208,222,206,300,209,121,89,50,41,23,33,45
Operating Profit,79,36,26,117,-23,-30,-5,0,-16,-12,-14,-24
OPM %,28%,14%,11%,28%,-13%,-34%,-6%,0%,-64%,-115%,-70%,-109%
Other Income +,7,2,5,2,-0,1,1,-33,5,85,10,-397
Interest,35,48,49,60,50,54,2,1,1,1,0,0
Depreciation,15,20,23,29,29,30,30,29,20,20,20,19
Profit before tax,36,-29,-41,29,-103,-113,-36,-62,-32,52,-24,-440
Tax %,13%,-5%,-0%,3%,-0%,0%,0%,-0%,47%,-0%,-22%,-0%
Net Profit,31,-30,-41,29,-103,-113,-36,-62,-17,52,-29,-441
EPS in Rs,,,,,-38.99,-39.56,-10.54,-18.38,-5.10,15.40,-8.65,-130.60
