,Sep 2006,Sep 2007,Sep 2009,Mar 2011,Mar 2012,Jun 2013,Jun 2014,Mar 2015,Mar 2016,Mar 2017
Share Capital +,12.50,12.50,13.60,13.60,14.84,14.84,14.84,14.84,14.84,14.84
Reserves,0.57,1.64,-1.45,-1.25,-3.36,-5.00,-6.26,-7.54,-8.55,-8.61
Borrowings +,13.41,16.02,21.16,22.43,22.60,24.96,25.27,25.25,27.59,27.38
Other Liabilities +,9.30,10.07,8.93,6.65,5.93,3.70,3.69,3.99,3.15,2.85
Total Liabilities,35.78,40.23,42.24,41.43,40.01,38.50,37.54,36.54,37.03,36.46
Fixed Assets +,8.53,6.56,12.76,11.47,10.53,9.43,9.18,8.57,8.50,8.51
CWIP,0.04,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Investments,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Other Assets +,27.21,33.65,29.48,29.96,29.48,29.07,28.36,27.97,28.53,27.95
Total Assets,35.78,40.23,42.24,41.43,40.01,38.50,37.54,36.54,37.03,36.46
