,Mar 2010,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017
Sales +,248,349,529,957,"1,752","3,211","3,895","3,832"
Expenses +,217,309,471,853,"1,580","2,949","3,585","4,550"
Operating Profit,31,40,58,104,172,262,310,-718
OPM %,12%,11%,11%,11%,10%,8%,8%,-19%
Other Income +,2,4,3,2,5,6,3,6
Interest,14,17,24,33,60,81,105,110
Depreciation,3,3,3,4,5,9,11,12
Profit before tax,16,23,33,69,112,178,197,-833
Tax %,34%,34%,28%,16%,11%,10%,16%,-0%
Net Profit,11,15,24,58,100,160,166,-835
EPS in Rs,,,3.69,7.72,10.15,15.59,14.78,-75.42
