,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,259.84,328.46,535.39,591.81,477.02,260.74,320.07,199.92,38.29,8.41,14.02,12.13
Expenses +,256.58,319.10,521.03,564.34,452.61,235.31,291.83,184.99,59.60,34.07,13.86,11.81
Operating Profit,3.26,9.36,14.36,27.47,24.41,25.43,28.24,14.93,-21.31,-25.66,0.16,0.32
OPM %,1.25%,2.85%,2.68%,4.64%,5.12%,9.75%,8.82%,7.47%,-55.65%,-305.11%,1.14%,2.64%
Other Income +,8.41,-1.84,-0.48,-3.37,-1.51,0.19,0.32,0.14,-0.01,0.09,-0.00,0.00
Interest,8.65,1.93,2.64,4.06,3.15,3.66,0.13,0.27,0.12,-0.00,-0.00,0.00
Depreciation,0.05,0.09,0.22,0.36,0.47,0.43,0.37,0.35,0.34,0.34,0.27,0.28
Profit before tax,2.97,5.50,11.02,19.68,19.28,21.53,28.06,14.45,-21.78,-25.91,-0.11,0.04
Tax %,29.29%,26.18%,14.25%,9.10%,3.06%,0.19%,-0.04%,0.21%,-0.09%,-0.04%,27.27%,
Net Profit,2.10,4.07,9.45,17.89,18.69,21.50,28.07,14.42,-21.79,-25.92,-0.09,0.07
EPS in Rs,0.71,1.38,3.19,6.06,6.34,7.29,9.52,4.89,-7.39,-8.79,-0.03,0.02
