,Mar 2006,Mar 2007,Mar 2008,Mar 2009,Mar 2010,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,TTM
Sales +,91,118,144,155,130,120,126,189,270,265,282
Expenses +,85,106,138,138,119,114,125,185,250,241,255
Operating Profit,6,12,5,17,11,7,2,4,20,24,26
OPM %,6%,10%,4%,11%,9%,6%,1%,2%,8%,9%,9%
Other Income +,3,1,2,2,6,8,8,7,6,6,5
Interest,0,0,0,0,0,0,0,0,1,1,0
Depreciation,2,3,3,3,2,2,3,3,4,4,4
Profit before tax,6,11,5,17,15,12,7,7,22,25,27
Tax %,31%,17%,-3%,6%,8%,32%,48%,32%,27%,25%,
Net Profit,4,9,5,16,14,8,4,5,16,18,19
EPS in Rs,4.16,9.06,4.90,15.55,13.78,8.40,3.43,4.80,14.30,16.81,17.00
