,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,"1,259","1,510","1,776","2,155","2,447","2,396","2,755","3,103","3,564","3,578","3,005","3,650","3,949"
Expenses +,"1,023","1,267","1,485","1,847","2,108","2,048","2,350","2,630","3,040","3,079","2,618","3,144","3,418"
Operating Profit,236,243,292,308,339,348,404,473,524,499,387,506,531
OPM %,19%,16%,16%,14%,14%,15%,15%,15%,15%,14%,13%,14%,13%
Other Income +,6,4,5,6,4,22,2,2,3,2,4,3,3
Interest,45,68,89,99,104,96,90,88,99,108,98,92,93
Depreciation,44,56,68,87,87,99,116,137,146,156,151,157,162
Profit before tax,152,123,141,128,150,174,201,250,282,237,142,259,280
Tax %,23%,25%,24%,23%,25%,19%,25%,26%,26%,26%,26%,26%,
Net Profit,117,92,107,99,113,142,151,185,209,175,106,192,208
EPS in Rs,5.30,4.27,4.92,4.54,5.22,6.57,6.50,7.98,8.96,7.48,4.57,8.31,8.99
