,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,159,183,320,200,151,233,318,325,261,294,277,317,351
Expenses +,156,184,284,237,160,199,255,264,221,219,211,237,264
Operating Profit,3,-1,36,-37,-9,34,63,61,40,75,66,80,87
OPM %,2%,-0%,11%,-19%,-6%,15%,20%,19%,15%,26%,24%,25%,25%
Other Income +,4,5,4,3,9,10,7,7,-5,4,4,6,11
Interest,0,1,5,7,2,2,1,0,0,2,3,2,3
Depreciation,14,14,15,12,11,8,6,4,5,20,23,23,25
Profit before tax,-7,-10,21,-54,-12,35,63,64,29,57,44,61,70
Tax %,-3%,-40%,57%,31%,-14%,10%,2%,6%,46%,21%,20%,42%,
Net Profit,-8,-15,9,-37,-14,31,62,60,16,45,35,36,60
EPS in Rs,-4.97,-11.14,1.28,-16.40,-9.23,20.30,40.50,39.07,10.28,29.48,23.05,23.39,39.49
