,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,345,168,128,78,59,48,26,49,265,202,114,156,300
Expenses +,98,80,61,103,68,45,24,18,77,77,59,77,161
Operating Profit,246,88,67,-25,-9,3,1,31,188,125,55,78,139
OPM %,71%,52%,52%,-32%,-16%,6%,5%,63%,71%,62%,48%,50%,46%
Other Income +,9,25,-564,6,"-1,156",20,48,16,15,48,27,-23,-26
Interest,12,11,11,14,15,5,0,1,2,6,6,9,25
Depreciation,122,56,88,103,39,12,10,8,44,29,23,26,45
Profit before tax,121,47,-595,-136,"-1,219",6,40,38,157,137,52,20,43
Tax %,32%,26%,7%,9%,-0%,11%,10%,0%,0%,-0%,-3%,-2%,
Net Profit,82,35,-553,-124,"-1,220",5,36,38,157,138,53,20,42
EPS in Rs,6.25,2.65,-42.35,-9.48,-93.46,0.38,2.76,2.88,12.01,10.40,4.04,1.51,3.18
