,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,545,616,815,892,974,956,"1,168","1,203","1,442","1,496",832,"1,112","1,579"
Expenses +,428,483,620,682,735,749,892,979,"1,170","1,180",744,959,"1,284"
Operating Profit,117,133,194,210,239,207,275,223,272,315,88,153,295
OPM %,21%,22%,24%,24%,25%,22%,24%,19%,19%,21%,11%,14%,19%
Other Income +,8,11,2,4,3,17,22,26,23,22,59,94,95
Interest,5,7,11,12,11,5,6,9,17,19,11,7,8
Depreciation,14,17,23,26,31,30,28,31,33,47,47,50,52
Profit before tax,107,120,162,176,200,190,264,210,245,272,89,190,330
Tax %,38%,35%,34%,34%,35%,37%,31%,39%,38%,27%,37%,32%,
Net Profit,67,78,107,115,130,107,171,127,153,197,56,130,248
EPS in Rs,2.80,3.27,4.48,4.83,5.47,4.51,7.30,5.45,6.68,8.62,2.44,5.80,10.98
