,Sep 2011,Sep 2012,Sep 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,83,163,231,130,267,238,250,314,385,182,70,231,207
Expenses +,81,157,224,128,261,236,237,272,343,149,61,189,173
Operating Profit,2,6,7,3,7,2,13,42,42,33,9,42,34
OPM %,2%,4%,3%,2%,3%,1%,5%,13%,11%,18%,12%,18%,16%
Other Income +,1,1,1,1,-0,3,1,2,-18,-15,0,5,5
Interest,0,1,1,1,3,3,1,2,4,3,4,6,8
Depreciation,0,1,1,0,1,1,0,0,0,0,0,0,0
Profit before tax,2,5,6,2,3,2,13,42,20,14,4,40,30
Tax %,20%,28%,6%,12%,11%,17%,7%,17%,71%,15%,68%,32%,
Net Profit,2,3,6,2,2,2,12,35,6,12,1,27,18
EPS in Rs,0.39,0.62,1.11,0.30,0.22,0.17,1.04,2.69,0.36,0.94,0.14,2.26,1.66
