,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,253,300,312,327,356,357,392,427,480,529,484,613,707
Expenses +,227,264,273,297,326,310,337,367,411,463,425,534,614
Operating Profit,27,36,39,31,30,46,56,60,69,66,59,79,93
OPM %,11%,12%,12%,9%,8%,13%,14%,14%,14%,12%,12%,13%,13%
Other Income +,1,2,-5,2,4,4,2,1,2,3,2,2,3
Interest,11,16,18,24,27,25,24,22,22,22,25,20,18
Depreciation,6,7,8,11,11,10,10,10,10,13,14,14,14
Profit before tax,11,16,8,-2,-3,14,23,28,38,35,22,48,64
Tax %,40%,29%,37%,-19%,16%,24%,31%,32%,35%,30%,-6%,27%,
Net Profit,6,11,5,-2,-2,11,16,19,25,24,23,35,48
EPS in Rs,2.26,3.85,1.51,-0.68,-0.74,3.11,4.49,5.34,7.08,6.84,6.51,9.80,13.43
