,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,"1,627","2,410","2,669","3,905","3,808","4,309","4,150","5,995","6,742","4,685","5,808","7,663","9,719"
Expenses +,"1,275","1,998","2,353","3,387","3,512","3,952","3,676","5,451","6,285","4,221","4,848","6,307","7,630"
Operating Profit,352,412,316,517,297,358,474,544,457,465,961,"1,356","2,089"
OPM %,22%,17%,12%,13%,8%,8%,11%,9%,7%,10%,17%,18%,21%
Other Income +,37,37,58,35,37,71,13,23,54,95,27,44,65
Interest,44,68,82,101,111,130,121,173,229,243,188,155,162
Depreciation,79,89,108,114,124,122,135,163,171,214,212,233,234
Profit before tax,266,292,183,337,98,177,230,230,110,103,588,"1,013","1,759"
Tax %,30%,27%,29%,29%,32%,34%,33%,29%,33%,14%,31%,32%,
Net Profit,188,212,129,240,67,116,155,164,73,89,406,687,"1,175"
EPS in Rs,18.49,20.88,12.75,23.72,6.71,11.47,15.22,16.04,6.97,8.50,38.99,56.24,95.61
