,Mar 2009,Mar 2010,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,TTM
Sales +,386,396,503,886,"1,457","1,508",350,105,24,27,27,14,6
Expenses +,355,364,468,852,"1,417","1,475",375,138,53,36,80,65,427
Operating Profit,32,32,35,34,41,33,-26,-33,-29,-10,-53,-51,-422
OPM %,8%,8%,7%,4%,3%,2%,-7%,-32%,-121%,-36%,-199%,-354%,"-7,096%"
Other Income +,3,3,1,12,16,14,14,13,-69,3,1,0,124
Interest,8,7,4,4,7,4,5,5,2,2,1,1,0
Depreciation,8,8,10,11,12,15,23,26,8,8,7,7,6
Profit before tax,19,20,22,31,38,28,-39,-52,-108,-16,-61,-58,-304
Tax %,28%,22%,40%,23%,25%,55%,2%,-3%,1%,-3%,18%,19%,
Net Profit,14,16,13,24,27,12,-38,-53,-107,-17,-50,-47,-228
EPS in Rs,11.50,12.91,10.68,18.54,20.05,10.44,-26.36,-35.67,-79.15,-12.47,-36.61,-34.46,-168.44
