,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,342,473,661,841,942,"1,314","1,330","1,365","1,431","1,438","1,564","2,160","2,419"
Expenses +,208,283,406,486,626,833,869,998,"1,122","1,111","1,115","1,498","1,740"
Operating Profit,135,190,255,355,316,482,461,368,309,326,450,662,679
OPM %,39%,40%,39%,42%,34%,37%,35%,27%,22%,23%,29%,31%,28%
Other Income +,14,22,-18,11,32,36,28,61,49,45,34,24,57
Interest,0,0,0,1,1,1,2,1,1,20,21,23,21
Depreciation,9,13,26,33,50,57,52,48,45,71,82,103,107
Profit before tax,139,199,211,332,298,460,436,380,311,281,381,560,609
Tax %,12%,20%,19%,23%,23%,26%,19%,24%,27%,26%,26%,25%,
Net Profit,122,160,172,256,230,342,354,290,228,209,283,418,450
EPS in Rs,21.22,27.50,28.74,42.33,37.84,55.80,59.30,50.08,39.29,37.65,54.03,82.33,88.84
