,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,215,267,338,451,519,584,700,829,976,"1,092","1,009","1,395","1,551"
Expenses +,177,225,292,413,443,499,595,713,864,936,887,"1,161","1,279"
Operating Profit,38,41,47,38,76,85,105,116,112,157,122,234,272
OPM %,18%,15%,14%,9%,15%,15%,15%,14%,11%,14%,12%,17%,18%
Other Income +,1,4,2,3,0,-2,10,25,10,10,-72,110,-35
Interest,14,24,29,32,34,38,23,42,70,138,119,98,99
Depreciation,18,24,30,36,39,44,57,71,85,148,159,158,163
Profit before tax,8,-3,-10,-27,3,0,35,27,-33,-119,-229,88,-25
Tax %,12%,-8%,-7%,-20%,-56%,-730%,34%,38%,7%,-5%,3%,56%,
Net Profit,7,-3,-11,-32,5,2,23,17,-31,-125,-221,39,-40
EPS in Rs,1.18,-0.56,-1.54,-5.21,0.12,-0.17,2.59,2.36,-2.82,-12.03,-15.43,3.87,-1.89
