,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,452,770,"1,037","1,179","1,843","2,123","1,583","1,604","2,817","2,441",765,"1,825","2,019"
Expenses +,346,650,751,897,"1,586","1,986","1,330","1,819","2,639","2,181","1,214","1,880","2,057"
Operating Profit,105,120,286,283,257,137,253,-216,178,260,-449,-56,-37
OPM %,23%,16%,28%,24%,14%,6%,16%,-13%,6%,11%,-59%,-3%,-2%
Other Income +,107,88,10,75,83,146,150,499,419,473,568,761,766
Interest,4,5,3,4,5,41,104,150,234,220,185,167,160
Depreciation,4,4,4,6,10,14,14,16,14,21,20,21,22
Profit before tax,204,199,289,347,326,228,284,117,348,493,-86,516,547
Tax %,30%,35%,32%,32%,28%,30%,27%,26%,27%,44%,-121%,32%,
Net Profit,143,129,197,236,236,160,207,87,253,274,-189,351,408
EPS in Rs,7.34,4.92,6.95,8.00,9.58,7.33,9.56,4.01,11.04,10.73,-6.81,12.68,14.39
