,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,"24,106","34,368","38,210","51,220","52,972","41,546","55,604","71,933","84,757","73,326","79,839","146,371","164,830"
Expenses +,"19,237","27,571","31,698","42,051","43,608","35,124","43,296","57,017","65,827","61,513","59,661","107,257","140,557"
Operating Profit,"4,869","6,797","6,512","9,169","9,364","6,422","12,308","14,916","18,930","11,813","20,178","39,114","24,273"
OPM %,20%,20%,17%,18%,18%,15%,22%,21%,22%,16%,25%,27%,15%
Other Income +,189,"-1,444",-307,"-1,630",103,"-1,966",18,-177,196,-289,473,"1,600",636
Interest,"1,060","1,427","1,967","3,048","3,493","3,601","3,768","3,701","3,917","4,265","3,957","4,968","5,984"
Depreciation,"1,560","1,933","2,237","3,183","3,434","3,323","3,430","3,387","4,041","4,246","4,679","6,001","7,162"
Profit before tax,"2,438","1,993","1,999","1,308","2,539","-2,468","5,128","7,651","11,168","3,013","12,015","29,745","11,763"
Tax %,32%,25%,42%,70%,32%,80%,33%,20%,33%,-30%,34%,30%,
Net Profit,"1,730",557,929,402,"1,722",-481,"3,467","6,113","7,524","3,919","7,873","20,938","7,783"
EPS in Rs,7.86,2.41,4.32,1.87,7.43,-1.39,14.57,25.71,31.60,16.67,32.73,85.49,31.36
