,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,43.88,63.18,65.79,54.08,85.19,95.68
Expenses +,38.39,53.79,57.71,47.72,72.49,83.20
Operating Profit,5.49,9.39,8.08,6.36,12.70,12.48
OPM %,12.51%,14.86%,12.28%,11.76%,14.91%,13.04%
Other Income +,0.74,0.17,1.07,-3.78,0.40,0.39
Interest,1.89,1.88,2.51,2.38,2.47,2.26
Depreciation,0.27,0.57,1.74,1.39,0.88,0.49
Profit before tax,4.07,7.11,4.90,-1.19,9.75,10.12
Tax %,28.50%,19.69%,1.63%,1.68%,10.36%,
Net Profit,2.91,5.71,4.83,-1.17,8.74,9.29
EPS in Rs,1.19,2.34,1.82,-0.44,3.30,3.50
