,Dec 2010,Dec 2011,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,"1,150","1,495","2,172","1,937","2,272","2,563","2,690","2,799","3,174","3,175","3,288","4,410","5,039"
Expenses +,995,"1,315","1,892","1,764","2,048","2,157","2,348","2,447","2,888","2,701","2,602","3,410","3,964"
Operating Profit,155,180,280,172,224,406,342,352,286,475,686,"1,000","1,076"
OPM %,14%,12%,13%,9%,10%,16%,13%,13%,9%,15%,21%,23%,21%
Other Income +,5,22,29,39,25,35,26,20,19,-49,-6,-5,32
Interest,0,-0,0,0,11,43,45,40,43,117,111,87,75
Depreciation,19,22,35,27,44,102,104,114,128,347,430,395,394
Profit before tax,141,180,274,184,194,296,219,217,134,-39,140,512,639
Tax %,33%,32%,30%,34%,34%,33%,36%,33%,33%,-7%,27%,25%,
Net Profit,95,124,193,123,129,197,140,145,90,-42,102,382,473
EPS in Rs,39.91,52.34,81.46,51.67,54.51,82.95,58.93,60.99,37.83,-17.64,42.91,161.08,199.26
