,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,"1,714","1,695","2,059","2,044","1,912","2,141","2,286"
Expenses +,"1,261","1,249","1,507","1,540","1,638","1,809","1,987"
Operating Profit,452,445,552,503,274,331,298
OPM %,26%,26%,27%,25%,14%,15%,13%
Other Income +,26,46,54,39,16,29,26
Interest,49,49,57,62,48,57,70
Depreciation,214,211,240,283,308,308,313
Profit before tax,216,231,309,197,-65,-4,-59
Tax %,33%,33%,32%,20%,-154%,524%,
Net Profit,145,155,210,159,-165,18,-15
EPS in Rs,,9.58,13.03,10.10,-10.53,1.15,-0.97
