,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Share Capital +,76,76,76,32,32,32,33,33,33,32,33,33,33
Reserves,129,190,83,201,296,335,402,518,664,719,931,"1,094","1,115"
Borrowings +,202,178,161,124,76,112,85,67,66,102,124,165,166
Other Liabilities +,86,116,125,121,126,140,157,146,179,238,307,394,400
Total Liabilities,448,514,401,478,530,619,676,763,942,"1,091","1,395","1,686","1,713"
Fixed Assets +,203,203,58,66,76,126,126,120,116,154,163,467,477
CWIP,1,0,0,0,1,3,0,0,1,9,29,27,4
Investments,17,13,0,3,3,4,5,12,18,82,280,84,109
Other Assets +,227,299,343,409,450,487,545,632,807,847,923,"1,108","1,123"
Total Assets,448,514,401,478,530,619,676,763,942,"1,091","1,395","1,686","1,713"
