,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,526,645,893,"1,298","1,376","1,277","1,439","1,571","1,814","1,986","2,540","2,752","2,710"
Expenses +,471,610,829,"1,155","1,242","1,218","1,353","1,422","1,611","1,725","2,170","2,471","2,495"
Operating Profit,54,35,64,143,134,58,86,148,203,262,370,281,215
OPM %,10%,5%,7%,11%,10%,5%,6%,9%,11%,13%,15%,10%,8%
Other Income +,11,57,-126,34,13,17,16,10,14,14,18,50,9
Interest,15,14,14,14,7,7,6,4,5,9,5,6,8
Depreciation,8,9,7,7,12,24,29,25,25,31,39,55,67
Profit before tax,43,69,-84,155,128,45,66,129,188,236,344,271,149
Tax %,0%,0%,-2%,2%,19%,11%,2%,13%,18%,20%,21%,12%,
Net Profit,43,69,-86,153,103,40,65,112,154,190,272,237,139
EPS in Rs,2.72,4.32,-5.34,9.48,6.37,2.45,3.97,6.90,9.43,11.77,16.70,14.50,8.48
