,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,500,704,832,816,730,"1,030","1,345","1,587","2,039","2,213",774,655,351
Expenses +,397,559,670,668,581,817,"1,082","1,281","1,655","2,044",847,648,428
Operating Profit,103,145,161,147,149,213,262,307,384,169,-73,7,-77
OPM %,21%,21%,19%,18%,20%,21%,20%,19%,19%,8%,-9%,1%,-22%
Other Income +,6,15,7,6,8,21,13,6,11,26,-211,-677,-673
Interest,8,18,14,14,13,15,23,21,25,41,37,29,14
Depreciation,22,27,46,77,60,74,87,104,154,167,115,80,40
Profit before tax,80,115,107,63,85,145,165,188,216,-13,-437,-779,-804
Tax %,8%,18%,17%,2%,6%,14%,11%,15%,17%,15%,-3%,-0%,
Net Profit,74,94,89,62,80,125,146,160,178,-11,-450,-782,-805
EPS in Rs,5.72,6.99,6.49,4.74,5.71,9.78,10.74,10.85,11.99,-0.84,-30.56,-52.88,-54.37
