,Mar 2006,Mar 2007,Mar 2008,Mar 2009,Mar 2010,Mar 2011,Mar 2012,Mar 2013,TTM
Sales +,87,168,308,501,749,"1,751","2,653","2,091","1,078"
Expenses +,76,142,252,396,578,"1,434","2,192","1,997","2,057"
Operating Profit,10,26,56,105,171,316,461,94,-979
OPM %,12%,16%,18%,21%,23%,18%,17%,4%,-91%
Other Income +,1,0,0,10,-3,1,31,26,4
Interest,1,1,4,8,14,32,74,100,159
Depreciation,1,3,5,9,21,52,85,113,103
Profit before tax,9,23,47,98,133,233,332,-93,"-1,237"
Tax %,15%,12%,14%,21%,25%,25%,39%,-2%,
Net Profit,7,20,41,78,100,175,201,-95,"-1,236"
EPS in Rs,6.86,18.46,37.33,70.03,44.42,66.21,44.05,-20.99,-273.19
