,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,996,825,"1,048",798,923,"1,416","1,114","1,265","2,582","2,238","2,053","2,694","3,257"
Expenses +,419,341,435,364,409,740,543,589,"1,427","1,189","1,052","1,512","1,771"
Operating Profit,577,483,613,435,514,676,571,676,"1,156","1,048","1,001","1,182","1,486"
OPM %,58%,59%,58%,54%,56%,48%,51%,53%,45%,47%,49%,44%,46%
Other Income +,63,150,99,57,17,43,50,29,86,54,41,297,461
Interest,0,0,0,0,2,7,6,7,19,88,76,86,120
Depreciation,24,27,29,27,40,49,50,49,44,45,41,40,39
Profit before tax,615,606,683,464,489,663,565,650,"1,178",969,924,"1,354","1,787"
Tax %,16%,24%,26%,33%,35%,35%,33%,29%,31%,29%,20%,23%,
Net Profit,517,463,505,311,317,436,379,459,817,689,739,"1,047","1,422"
EPS in Rs,15.76,14.10,15.38,9.48,9.66,12.84,11.15,13.51,22.47,18.96,20.33,28.80,39.10
