,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,918,933,880,867,796,545,669,741
Expenses +,656,728,699,821,696,538,659,763
Operating Profit,262,206,181,46,99,7,10,-23
OPM %,29%,22%,21%,5%,12%,1%,2%,-3%
Other Income +,33,92,92,88,109,117,76,41
Interest,11,16,11,18,9,9,9,13
Depreciation,22,20,20,21,31,30,30,29
Profit before tax,262,261,243,96,168,85,47,-24
Tax %,32%,26%,24%,-13%,29%,14%,9%,
Net Profit,179,190,175,108,116,69,41,-16
EPS in Rs,24.35,25.82,23.88,14.77,15.79,9.43,5.51,-2.23
