,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,1,2,18,0,28,242,1,1,69,"1,041",186,197,136
Expenses +,-11,-13,-12,-24,-13,197,-67,-101,-75,930,171,155,112
Operating Profit,11,15,29,25,41,45,68,102,143,111,15,41,24
OPM %,"1,384%",775%,166%,"18,892%",147%,19%,"7,349%","6,960%",209%,11%,8%,21%,18%
Other Income +,9,8,13,21,45,86,112,117,128,187,145,45,33
Interest,28,27,46,51,96,137,163,216,269,371,152,68,67
Depreciation,0,0,0,0,1,1,0,0,1,2,2,1,1
Profit before tax,-8,-4,-4,-6,-11,-7,16,3,2,-76,6,17,-11
Tax %,-2%,-6%,-15%,-2%,-0%,-1%,23%,-40%,74%,32%,91%,13%,
Net Profit,-8,-29,-4,8,12,-4,13,4,0,-52,1,15,-7
EPS in Rs,-3.14,-12.04,-1.53,3.11,5.05,-1.74,5.19,1.49,0.18,-18.54,0.22,3.97,-1.85
