,Mar 2006,Mar 2010,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019
Share Capital +,5,6,6,7,7,10,10,10,10,10,10
Reserves,10,56,64,123,108,199,203,209,218,228,239
Borrowings +,60,43,44,42,65,71,73,99,138,138,173
Other Liabilities +,62,76,82,83,92,114,132,130,114,108,132
Total Liabilities,137,180,195,254,272,394,418,448,481,485,555
Fixed Assets +,41,56,66,67,71,79,107,105,102,159,165
CWIP,8,2,0,0,1,6,1,25,50,0,0
Investments,1,1,1,0,0,0,1,1,10,11,6
Other Assets +,87,121,128,186,199,308,309,317,320,316,383
Total Assets,137,180,195,254,272,394,418,448,481,485,555
