,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,"3,129","3,832","3,822","4,212","4,917","5,228","5,588","6,349","7,509","6,915","6,547","7,549","8,442"
Expenses +,"2,749","3,318","3,339","3,678","4,321","4,548","4,830","5,421","6,380","5,784","5,507","6,585","7,471"
Operating Profit,380,514,483,534,596,680,758,928,"1,129","1,131","1,040",965,972
OPM %,12%,13%,13%,13%,12%,13%,14%,15%,15%,16%,16%,13%,12%
Other Income +,76,12,30,30,42,33,29,-3,6,48,19,10,23
Interest,98,96,93,81,51,49,32,24,26,18,14,6,11
Depreciation,182,187,187,208,227,243,291,322,376,414,399,382,388
Profit before tax,177,243,233,276,359,420,465,579,733,747,647,586,596
Tax %,28%,25%,27%,26%,29%,29%,29%,33%,32%,24%,20%,21%,
Net Profit,128,183,170,205,254,300,330,391,495,566,520,461,466
EPS in Rs,28.15,40.15,38.51,46.52,57.42,68.10,23.48,27.78,35.19,40.20,36.95,32.75,33.11
