,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,"7,487","8,681","11,244","12,810","6,933","7,144","9,279","11,638","13,557","12,951","12,188","21,223","23,312"
Expenses +,"6,313","7,733","10,536","11,800","6,564","6,571","8,113","10,294","12,392","11,819","10,764","18,236","20,767"
Operating Profit,"1,174",948,709,"1,010",368,573,"1,166","1,343","1,165","1,132","1,424","2,987","2,545"
OPM %,16%,11%,6%,8%,5%,8%,13%,12%,9%,9%,12%,14%,11%
Other Income +,124,-174,-149,-374,"1,238",-14,63,62,45,44,148,158,155
Interest,429,570,"1,043","1,295",942,"1,030",788,566,637,586,480,332,321
Depreciation,395,448,740,728,411,316,325,320,352,425,403,371,370
Profit before tax,473,-245,"-1,224","-1,387",253,-788,116,520,222,165,690,"2,442","2,010"
Tax %,33%,26%,31%,1%,0%,29%,28%,34%,35%,56%,39%,22%,
Net Profit,318,-183,-842,"-1,367",253,-556,83,346,145,73,419,"1,909","1,673"
EPS in Rs,16.77,-9.49,-41.19,-63.52,11.17,-24.05,2.04,7.16,2.97,1.46,8.60,35.80,31.78
