,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,"3,621","4,631","5,157","5,082","5,057","4,879","5,158","5,267","5,770","5,186","4,511","4,858","5,420"
Expenses +,"3,213","3,686","4,219","4,458","4,294","4,006","4,267","4,548","5,131","4,588","3,715","4,373","5,279"
Operating Profit,408,945,937,624,763,873,891,720,639,599,796,486,141
OPM %,11%,20%,18%,12%,15%,18%,17%,14%,11%,12%,18%,10%,3%
Other Income +,75,22,23,-135,22,21,17,14,26,24,32,23,36
Interest,153,333,369,411,478,440,380,365,350,343,271,198,230
Depreciation,251,286,324,320,303,291,276,279,265,256,247,226,221
Profit before tax,80,349,267,-241,4,164,252,90,50,24,311,85,-274
Tax %,28%,25%,33%,-0%,127%,29%,37%,21%,49%,-126%,33%,23%,
Net Profit,64,272,192,-239,-1,119,159,69,26,51,209,87,-19
EPS in Rs,2.18,8.84,6.12,-7.92,-0.11,3.80,5.41,2.11,0.68,1.62,6.67,2.53,-0.89
