,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,"18,090","21,359","18,914","20,403","19,954","9,483","12,714","8,116","5,025","2,973","3,346","6,582","6,903"
Expenses +,"17,036","19,526","20,415","20,465","25,703","9,767","10,235","7,140","5,048","3,829","2,809","5,682","6,016"
Operating Profit,"1,054","1,833","-1,501",-62,"-5,749",-283,"2,479",977,-23,-856,537,900,887
OPM %,6%,9%,-8%,-0%,-29%,-3%,20%,12%,-0%,-29%,16%,14%,13%
Other Income +,-153,341,-286,-495,-194,"2,563",109,555,92,-42,823,95,"2,486"
Interest,"1,375","1,655","1,855","2,070","2,065","1,304","1,288","1,581","1,270","1,367",996,735,611
Depreciation,657,661,740,777,809,392,389,342,342,419,258,260,262
Profit before tax,"-1,132",-142,"-4,383","-3,404","-8,816",584,912,-391,"-1,543","-2,684",105,0,"2,500"
Tax %,-16%,-233%,-8%,-4%,-4%,-4%,1%,0%,1%,-0%,4%,"41,648%",
Net Profit,"-1,345",-506,"-4,732","-3,548","-9,133",583,852,-384,"-1,537","-2,692",104,-177,"2,321"
EPS in Rs,-6.02,-2.17,-21.47,-11.43,-19.95,0.94,1.38,-0.57,-2.32,-4.01,0.10,-0.17,1.91
