,Mar 2008,Mar 2009,Mar 2010,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,TTM
Sales +,"11,560","12,491","14,282","18,183","30,270","29,857","28,499","31,561","30,240","19,173","12,027","12,729","12,834"
Expenses +,"11,266","12,435","13,921","17,619","29,545","29,103","27,890","30,938","30,127","19,928","17,134","12,652","12,661"
Operating Profit,293,56,361,564,725,755,609,623,114,-755,"-5,107",77,173
OPM %,3%,0%,3%,3%,2%,3%,2%,2%,0%,-4%,-42%,1%,1%
Other Income +,244,382,207,189,343,448,320,252,99,150,36,116,84
Interest,199,195,186,291,722,676,712,613,"1,439",972,971,143,162
Depreciation,75,86,100,124,150,166,177,160,167,159,143,138,138
Profit before tax,264,157,281,338,196,361,40,102,"-1,393","-1,736","-6,186",-88,-43
Tax %,37%,38%,37%,31%,55%,21%,98%,24%,6%,22%,7%,-0%,
Net Profit,166,97,178,234,88,283,0,73,"-1,274","-1,363","-5,755",-88,-42
EPS in Rs,8.62,5.06,6.65,6.77,2.61,8.18,0.01,2.40,-38.12,-39.26,-168.74,-0.31,-1.16
