,Mar 2010,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,TTM
Sales +,63.41,89.57,91.43,47.48,17.32,21.00,16.41,4.39
Expenses +,54.96,82.04,86.14,64.62,18.38,22.64,24.92,5.86
Operating Profit,8.45,7.53,5.29,-17.14,-1.06,-1.64,-8.51,-1.47
OPM %,13.33%,8.41%,5.79%,-36.10%,-6.12%,-7.81%,-51.86%,-33.49%
Other Income +,-1.13,1.26,1.98,-119.35,0.38,1.78,0.29,0.04
Interest,2.43,3.74,4.82,4.73,6.18,0.06,0.01,0.00
Depreciation,1.67,2.45,4.76,2.54,2.02,2.22,1.60,1.31
Profit before tax,3.22,2.60,-2.31,-143.76,-8.88,-2.14,-9.83,-2.74
Tax %,24.22%,13.85%,25.97%,-0.50%,0.00%,0.00%,0.00%,
Net Profit,2.44,2.24,-1.71,-144.48,-8.88,-2.14,-9.83,-2.74
EPS in Rs,,0.09,-0.07,-3.54,-0.22,-0.04,-0.18,-0.05
