,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,467,"1,263","1,600","1,663","1,951","2,250","2,451","2,421","2,580","2,692","2,856","5,020","6,425"
Expenses +,392,"1,025","1,493","1,296","1,379","1,576","1,722","1,707","1,821","1,904","1,990","3,513","4,507"
Operating Profit,76,238,107,367,572,674,729,714,759,789,865,"1,507","1,918"
OPM %,16%,19%,7%,22%,29%,30%,30%,29%,29%,29%,30%,30%,30%
Other Income +,-0,34,14,2,14,0,1,-0,-3,14,21,-2,-7
Interest,12,28,35,27,23,16,15,15,13,6,0,0,0
Depreciation,6,17,26,69,41,64,96,108,135,180,226,246,257
Profit before tax,57,228,60,273,522,594,619,590,609,617,660,"1,258","1,654"
Tax %,13%,16%,15%,19%,34%,33%,31%,31%,27%,29%,27%,27%,
Net Profit,50,192,51,221,342,400,429,407,444,440,483,912,"1,192"
EPS in Rs,,,0.51,2.23,3.45,4.03,4.33,4.10,4.47,4.44,4.57,4.52,6.21
