,Jun 2011,Sep 2012,Jun 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,207.15,129.02,75.76,91.83,150.45,206.75,217.93,158.62,4.84,1.86,1.09,44.95,45.79
Expenses +,162.79,98.43,69.46,88.19,139.69,162.87,215.75,162.94,24.56,18.95,2.73,38.27,39.55
Operating Profit,44.36,30.59,6.30,3.64,10.76,43.88,2.18,-4.32,-19.72,-17.09,-1.64,6.68,6.24
OPM %,21.41%,23.71%,8.32%,3.96%,7.15%,21.22%,1.00%,-2.72%,-407.44%,-918.82%,-150.46%,14.86%,13.63%
Other Income +,19.14,-61.09,3.77,-53.16,3.60,-192.76,2.15,-95.02,0.38,1.00,3.14,1.31,2.74
Interest,17.05,26.64,12.68,9.28,6.51,0.47,28.52,24.42,0.49,0.33,0.09,2.05,1.23
Depreciation,6.34,7.88,4.63,4.60,7.83,7.51,7.81,7.75,7.66,7.53,6.82,2.91,2.77
Profit before tax,40.11,-65.02,-7.24,-63.40,0.02,-156.86,-32.00,-131.51,-27.49,-23.95,-5.41,3.03,4.98
Tax %,15.43%,2.41%,-102.35%,28.91%,"-8,900.00%",29.31%,-9.06%,-45.51%,0.00%,0.00%,0.00%,2.31%,
Net Profit,33.92,-63.45,-14.65,-45.06,1.80,-110.89,-34.90,-191.36,-27.49,-23.95,-5.42,2.96,4.91
EPS in Rs,3.31,-6.19,-1.43,-4.40,0.15,-6.67,-1.58,-8.69,-1.25,-1.09,-0.25,0.13,1.19
