,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,212,236,250,272,369,400,263,251,376,377
Expenses +,193,216,229,246,337,378,240,224,344,343
Operating Profit,20,20,21,26,31,22,22,27,32,33
OPM %,9%,8%,8%,9%,9%,6%,9%,11%,9%,9%
Other Income +,3,3,2,2,3,4,6,8,4,6
Interest,3,5,3,5,7,8,11,9,7,8
Depreciation,2,6,5,5,5,5,10,9,9,9
Profit before tax,17,12,14,18,23,13,8,17,19,22
Tax %,19%,29%,34%,38%,28%,29%,24%,20%,32%,
Net Profit,14,9,9,11,16,9,6,14,13,14
EPS in Rs,1.56,0.92,1.07,1.19,1.75,0.75,0.46,1.05,1.06,1.16
