,Mar 2008,Mar 2009,Mar 2010,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019
Share Capital +,18,18,18,18,18,18,18,18,19,19,19,19
Reserves,26,19,18,20,21,23,25,27,32,48,64,68
Borrowings +,45,57,61,45,66,65,58,53,35,25,3,0
Other Liabilities +,40,48,37,34,46,43,40,51,79,292,950,78
Total Liabilities,130,142,134,117,151,149,141,149,165,384,"1,036",165
Fixed Assets +,28,32,22,18,50,47,45,41,38,35,31,30
CWIP,1,0,0,0,1,0,0,0,0,0,0,0
Investments,6,15,15,25,8,8,8,8,9,5,1,16
Other Assets +,94,95,97,74,93,95,88,101,118,344,"1,003",118
Total Assets,130,142,134,117,151,149,141,149,165,384,"1,036",165
