,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,"8,238","14,767","25,298","30,414","34,661","37,216","42,376","56,303","63,523","60,729","57,370","63,536","69,178"
Expenses +,"7,471","13,954","23,819","28,017","31,817","33,668","38,204","51,174","58,174","56,075","53,000","59,060","64,438"
Operating Profit,767,813,"1,480","2,397","2,844","3,548","4,171","5,128","5,348","4,654","4,370","4,476","4,740"
OPM %,9%,6%,6%,8%,8%,10%,10%,9%,8%,8%,8%,7%,7%
Other Income +,169,144,318,311,212,177,346,125,333,642,568,813,463
Interest,58,165,250,294,318,345,375,411,423,593,512,543,644
Depreciation,246,380,714,817,921,"1,087","1,059","1,575","2,058","2,721","2,926","2,958","2,951"
Profit before tax,631,412,834,"1,596","1,817","2,293","3,083","3,267","3,200","1,983","1,500","1,788","1,609"
Tax %,30%,52%,46%,31%,29%,23%,30%,31%,34%,35%,-5%,34%,
Net Profit,443,196,452,"1,097","1,292","1,774","2,172","2,260","2,098","1,294","1,569","1,182",978
EPS in Rs,0.89,0.59,1.00,1.71,1.93,2.89,3.28,3.37,3.41,2.47,2.19,1.29,1.27
