,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,192,199,250,303,326,296,310,313,358,360,492,478,517
Expenses +,174,178,217,260,294,266,274,283,312,313,410,390,440
Operating Profit,18,21,34,43,31,30,36,31,46,47,82,87,77
OPM %,9%,11%,13%,14%,10%,10%,12%,10%,13%,13%,17%,18%,15%
Other Income +,6,6,2,2,-48,1,11,9,3,-0,18,11,6
Interest,9,10,12,14,13,13,14,9,9,9,6,5,5
Depreciation,12,12,12,13,10,8,8,9,9,10,10,11,12
Profit before tax,4,5,11,17,-39,11,25,23,32,28,83,82,67
Tax %,-6%,0%,0%,0%,0%,0%,20%,10%,24%,26%,26%,25%,
Net Profit,5,5,11,17,-39,11,20,20,24,21,62,61,50
EPS in Rs,1.16,1.37,2.85,4.40,-9.52,2.48,4.60,4.74,5.55,4.86,14.24,12.66,10.81
