,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,"7,382","8,297","8,226","9,344","11,340","12,464","13,498","17,512","21,548","19,859","20,299","25,591","30,446"
Expenses +,"6,934","7,737","7,704","8,762","10,622","11,506","12,494","15,973","19,205","17,446","17,911","22,599","26,649"
Operating Profit,448,561,522,582,717,959,"1,004","1,539","2,343","2,412","2,388","2,992","3,797"
OPM %,6%,7%,6%,6%,6%,8%,7%,9%,11%,12%,12%,12%,12%
Other Income +,21,46,133,68,98,102,171,121,28,-8,38,22,139
Interest,106,130,148,115,99,102,88,372,719,910,929,985,"1,172"
Depreciation,181,206,226,214,238,317,377,447,534,649,643,845,910
Profit before tax,182,270,282,320,478,641,710,841,"1,118",845,854,"1,184","1,855"
Tax %,33%,38%,31%,40%,29%,26%,23%,25%,33%,26%,31%,30%,
Net Profit,123,166,196,194,345,472,547,629,750,627,592,824,"1,281"
EPS in Rs,32.39,43.84,98.06,69.80,104.84,144.26,163.21,167.13,213.59,166.63,159.98,217.84,327.73
