,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,492,705,936,"1,200","1,366","1,378","1,338","1,548","2,261","2,165","1,884","2,710","3,066"
Expenses +,415,592,814,"1,045","1,199","1,196","1,172","1,346","1,970","1,894","1,845","2,424","2,737"
Operating Profit,76,113,122,155,167,182,166,202,291,271,39,287,330
OPM %,16%,16%,13%,13%,12%,13%,12%,13%,13%,13%,2%,11%,11%
Other Income +,12,16,5,11,6,6,8,7,15,11,16,14,13
Interest,8,13,17,27,29,33,33,36,55,74,79,79,85
Depreciation,24,39,34,33,37,39,41,43,46,39,36,37,39
Profit before tax,57,78,76,107,107,116,100,130,206,168,-60,185,219
Tax %,33%,33%,33%,36%,33%,35%,36%,30%,30%,22%,19%,25%,
Net Profit,38,52,51,68,72,75,65,91,143,131,-49,138,162
EPS in Rs,34.98,48.74,47.59,62.25,56.74,51.04,43.97,54.00,82.67,89.23,-31.02,94.48,111.33
