,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,275,442,550,734,828,816,852,910,"1,133","1,203","1,149","1,201","1,284"
Expenses +,260,400,501,642,742,737,769,827,998,"1,078","1,005","1,007","1,083"
Operating Profit,15,42,49,92,86,79,84,83,135,125,144,194,201
OPM %,6%,10%,9%,12%,10%,10%,10%,9%,12%,10%,12%,16%,16%
Other Income +,16,10,9,7,6,14,15,27,12,5,10,35,39
Interest,0,3,5,5,7,7,6,5,6,6,5,4,4
Depreciation,9,12,12,16,21,27,24,20,26,37,39,33,35
Profit before tax,22,38,41,78,64,58,69,84,115,88,109,192,202
Tax %,7%,25%,24%,25%,24%,24%,8%,15%,26%,30%,23%,19%,
Net Profit,21,28,31,58,49,45,64,72,84,62,84,155,163
EPS in Rs,3.53,4.53,6.12,8.26,7.33,7.60,11.06,10.87,12.64,10.81,13.53,26.71,28.15
