,Mar 2010,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,TTM
Sales +,366,411,"1,359","1,465","1,669",721,77,44
Expenses +,349,386,"1,259","1,377","1,563",711,368,48
Operating Profit,18,25,100,88,105,11,-292,-4
OPM %,5%,6%,7%,6%,6%,1%,-381%,-9%
Other Income +,0,0,11,2,2,0,-92,0
Interest,5,11,26,28,38,49,4,0
Depreciation,2,4,6,8,11,12,12,19
Profit before tax,10,11,79,53,59,-51,-400,-23
Tax %,24%,32%,9%,2%,9%,2%,3%,
Net Profit,8,7,72,52,54,-50,-390,-28
EPS in Rs,0.13,0.06,0.45,0.30,0.32,-0.29,-2.28,-0.16
