,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,612,701,738,705,"1,086",593,762,566,593,611,166,394,350
Expenses +,435,510,425,535,662,508,712,509,567,692,260,481,496
Operating Profit,176,191,313,171,424,86,50,57,26,-81,-94,-88,-146
OPM %,29%,27%,42%,24%,39%,14%,7%,10%,4%,-13%,-56%,-22%,-42%
Other Income +,15,27,34,51,61,92,113,123,134,-100,34,200,326
Interest,11,21,102,50,51,36,20,41,12,8,11,7,7
Depreciation,8,9,9,10,13,4,5,4,4,8,7,7,9
Profit before tax,172,188,236,161,421,138,139,135,143,-196,-78,99,164
Tax %,34%,32%,34%,32%,33%,31%,24%,23%,17%,1%,8%,-63%,
Net Profit,113,129,156,110,283,95,106,103,119,-195,-71,162,231
EPS in Rs,7.07,7.78,9.23,6.57,17.31,5.96,6.64,6.56,7.77,-12.55,-4.66,10.00,14.85
